,Tweets,polarity
0,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
1,The treatment of Southeast Asians in the @HBO show Silicon Valley is consistently and mind-blowingly racist... like… https://t.co/UuWtHV3WgK,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,Well she eventually got around to the right notes in the Canadian anthem. But the Metallica US anthem was fitting f… https://t.co/dNG7YSfSd0,"{'neg': 0.0, 'neu': 0.931, 'pos': 0.069, 'compound': 0.1406}"
3,@jeffreyjclarke @SOMM_FILM @RoseMarie4Real Agree. Not sure what the two recent documentaries I thoroughly enjoyed m… https://t.co/1eMKGEAIqo,"{'neg': 0.098, 'neu': 0.598, 'pos': 0.304, 'compound': 0.6287}"
4,RT @CNET: Silicon Valley to power off HBO after short final season 6 https://t.co/FEfojLmgDf https://t.co/ldXUnPuBCV,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,"So both Ballers and Silicon Valley won’t be showing new seasons this year, Insecure too, HBO slacking. Till today G… https://t.co/cJjIMrF1JC","{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.4215}"
6,‘Silicon Valley’ To End With Abbreviated Season 6 On HBO; EPs Promise “Fitting Conclusion” https://t.co/oVz3q3E0BX https://t.co/5n5vopidTu,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.3182}"
7,"Why does she look like she's hungry for blood.
""The Inventor: Out for blood in silicon valley.""
Right.

ps: I want… https://t.co/tkYgu0FNNf","{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}"
8,RT @THR: HBO's #SiliconValley to end with season 6 https://t.co/RmOQiyICE3 https://t.co/IWlZUNXrWN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,greatly appreciated 2 things about the @hbo documentary on #Theranos https://t.co/d9B5ZnlCyz 1st the terrific scene… https://t.co/OhYNXCRNsE,"{'neg': 0.0, 'neu': 0.66, 'pos': 0.34, 'compound': 0.7713}"
10,"Between this &amp; Crashing being cancelled, HBO clearly is holding a grudge against my viewing habits. I demand a Jian… https://t.co/8rXGKGAfKq","{'neg': 0.165, 'neu': 0.708, 'pos': 0.127, 'compound': 0.0516}"
11,"Happy Birthday Amanda Crew!

Amanda Catherine Crewborn is a Canadian actress. She is best known for portraying Moni… https://t.co/XZzWjMSWg9","{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.8478}"
12,RT @THR: HBO's #SiliconValley to end with season 6 https://t.co/RmOQiyICE3 https://t.co/IWlZUNXrWN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,"RT @DEADLINE: “The Inventor: Out for Blood in Silicon Valley on HBO investigates the rise and decline of Elizabeth Homes and Theranos, the…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
15,I love HBO's Silicon Valley more than Game of Thrones. The major reason is I love watching Richard (the main charac… https://t.co/lXYdPPUzxS,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.8555}"
16,"RT @DEADLINE: “The Inventor: Out for Blood in Silicon Valley on HBO investigates the rise and decline of Elizabeth Homes and Theranos, the…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
17,RT @THR: HBO's #SiliconValley to end with season 6 https://t.co/RmOQiyICE3 https://t.co/IWlZUNXrWN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,"'Silicon Valley’ to End With Season 6 on HBO 😔

https://t.co/Qpd2WDpkMx via @variety","{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.0772}"
19,"RT @evan_gelb: @kyalbr Then Thrones has to be the giant starting center. I think HBO's deep, versatile bench takes it. 

Can go small comed…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
20,"@kyalbr Then Thrones has to be the giant starting center. I think HBO's deep, versatile bench takes it. 

Can go sm… https://t.co/1kqjeynffi","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
21,"@illegenes Netflix has a great documentary on flat earthers called ""Behind the Curve"", HBO has one about Elizabeth… https://t.co/yb06gL5wq1","{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.6249}"
